,status,founded_at,first_funding_at,last_funding_at,funding_rounds,funding_total_usd,first_milestone_at,last_milestone_at,milestones,relationships,category_code_advertising,category_code_biotech,category_code_consulting,category_code_ecommerce,category_code_education,category_code_enterprise,category_code_games_video,category_code_hardware,category_code_mobile,category_code_network_hosting,category_code_other,category_code_public_relations,category_code_search,category_code_software,category_code_web,country_code_AUS,country_code_CAN,country_code_DEU,country_code_ESP,country_code_FRA,country_code_GBR,country_code_IND,country_code_USA,country_code_other,activedays
73,1,2007,2013.0,2013.0,1.0,10000000.0,2013.0,2013.0,1.0,7.0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,5110
74,3,2011,2012.0,2012.0,1.0,500000.0,2013.0,2013.0,1.0,6.0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
75,1,2007,2007.0,2012.0,3.0,22100000.0,2012.0,2013.0,3.0,17.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,5110
76,1,2004,2005.0,2010.0,3.0,11298100.0,2011.0,2012.0,3.0,19.0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,6205
77,1,2007,2011.0,2011.0,3.0,6865000.0,2011.0,2012.0,2.0,9.0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,5110
78,1,2008,2010.0,2013.0,2.0,6545000.0,2008.0,2012.0,2.0,6.0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,4745
79,1,2011,2011.0,2011.0,1.0,100000.0,2011.0,2011.0,1.0,2.0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,3650
80,3,2008,2008.0,2008.0,1.0,4000000.0,2010.0,2012.0,3.0,15.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0
81,1,2004,2008.0,2010.0,3.0,26000006.0,2009.0,2010.0,2.0,3.0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,6205
82,1,2011,2011.0,2011.0,1.0,700000.0,2011.0,2011.0,1.0,2.0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,3650
83,0,2008,2008.0,2010.0,3.0,10500000.0,2010.0,2010.0,3.0,8.0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
84,1,2008,2011.0,2011.0,1.0,250000.0,2011.0,2011.0,1.0,3.0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,4745
85,2,2009,2010.0,2010.0,1.0,4200000.0,2010.0,2012.0,3.0,17.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,4380
86,0,2011,2011.0,2011.0,1.0,5000.0,2011.0,2011.0,1.0,3.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0
87,1,2011,2009.0,2009.0,1.0,200000.0,2008.0,2008.0,1.0,3.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,3650
88,1,2004,2008.0,2008.0,1.0,8600000.0,2007.0,2007.0,1.0,5.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,6205
89,1,2010,2011.0,2011.0,1.0,4561780.722452607,2011.0,2011.0,1.0,2.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,4015
90,3,2005,2008.0,2008.0,2.0,14000000.0,2008.0,2013.0,4.0,17.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
91,1,2006,2011.0,2011.0,1.0,2000000.0,2011.0,2012.0,2.0,10.0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,5475
92,1,2008,2013.0,2013.0,2.0,9197854.0,2012.0,2013.0,2.0,7.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,4745
93,1,2005,2007.0,2010.0,3.0,12000000.0,2007.0,2010.0,3.0,2.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,5840
94,1,2008,2009.0,2010.0,2.0,6700000.0,2009.0,2012.0,3.0,7.0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,4745
95,0,2008,2007.0,2011.0,2.0,2300000.0,2011.0,2013.0,3.0,4.0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
96,1,2011,2011.0,2011.0,1.0,20000.0,2011.0,2011.0,1.0,4.0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,3650
97,1,2007,2011.0,2011.0,1.0,700000.0,2008.0,2011.0,3.0,11.0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,5110
98,3,2011,2011.0,2012.0,2.0,1975000.0,1997.0,2013.0,2.0,6.0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
99,1,2011,2011.0,2013.0,3.0,1725000.0,2011.0,2013.0,2.0,2.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,3650
100,1,2008,2009.0,2013.0,3.0,17000000.0,2012.0,2013.0,3.0,12.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,4745
101,0,2007,2009.0,2009.0,1.0,800000.0,2010.0,2010.0,2.0,3.0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0
102,3,2007,2008.0,2008.0,1.0,1000000.0,2010.0,2011.0,2.0,13.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
103,1,2000,2000.0,2000.0,1.0,35000.0,2000.0,2000.0,1.0,4.0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,7665
104,1,2000,2011.0,2011.0,1.0,12000000.0,2011.0,2012.0,2.0,19.0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,7665
105,1,1999,2007.0,2007.0,1.0,22500000.0,2013.0,2013.0,1.0,5.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,8030
106,3,2002,2009.0,2009.0,1.0,8800000.0,2009.0,2013.0,3.0,15.0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0
107,1,2011,2011.0,2013.0,2.0,6080000.0,2013.0,2013.0,1.0,7.0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,3650
108,1,2006,2008.0,2008.0,1.0,8300000.0,2008.0,2009.0,3.0,4.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,5475
109,1,2008,2009.0,2009.0,1.0,1000000.0,2009.0,2012.0,2.0,9.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,4745
110,1,2008,2008.0,2009.0,2.0,2000000.0,2010.0,2011.0,2.0,4.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,4745
111,1,2000,2012.0,2012.0,1.0,11600000.0,2012.0,2012.0,1.0,14.0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,7665
112,1,2007,2007.0,2007.0,1.0,4561780.722452607,2009.0,2009.0,1.0,4.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,5110
113,1,2008,2008.0,2009.0,2.0,200000.0,2009.0,2010.0,2.0,1.0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,4745
114,3,2006,2008.0,2008.0,1.0,4561780.722452607,2008.0,2010.0,2.0,14.0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
115,1,2006,2011.0,2011.0,2.0,11000000.0,2011.0,2011.0,1.0,12.0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,5475
116,1,2010,2012.0,2012.0,1.0,4300000.0,2011.0,2012.0,2.0,3.8906911456708704,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,4015
117,1,2008,2010.0,2012.0,2.0,21827665.0,2008.0,2012.0,3.0,4.0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,4745
118,1,2005,2005.0,2008.0,3.0,14000000.0,2011.0,2013.0,2.0,13.0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,5840
119,1,2012,2012.0,2013.0,2.0,4561780.722452607,2013.0,2013.0,1.0,4.0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,3285
120,1,2001,2007.0,2012.0,2.0,10000000.0,2011.0,2013.0,4.0,7.0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,7300
121,3,2007,2008.0,2010.0,3.0,10400001.0,2010.0,2013.0,3.0,21.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0
122,1,2011,2011.0,2013.0,3.0,20900000.0,2012.0,2012.0,1.0,6.0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,3650
123,1,2011,2011.0,2011.0,1.0,1000000.0,2010.0,2010.0,1.0,2.0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,3650
124,1,2011,2011.0,2012.0,2.0,18000.0,2012.0,2013.0,2.0,5.0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,3650
125,1,2010,2011.0,2013.0,3.0,2125000.0,2011.0,2012.0,2.0,3.0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,4015
126,3,2005,2005.0,2007.0,2.0,8500000.0,2010.0,2011.0,3.0,8.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0
127,1,2008,2008.0,2008.0,1.0,6000000.0,2008.0,2009.0,2.0,2.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,4745
128,1,2006,2007.0,2007.0,1.0,5500000.0,2007.0,2007.0,1.0,6.0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,5475
129,3,1997,2005.0,2005.0,1.0,8400000.0,2009.0,2009.0,1.0,13.0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0
130,1,2007,2007.0,2007.0,1.0,4561780.722452607,2007.0,2007.0,2.0,5.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,5110
131,1,2006,2010.0,2010.0,1.0,1500000.0,2011.0,2011.0,1.0,5.0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,5475
132,0,2007,2007.0,2007.0,2.0,12000000.0,2009.0,2009.0,1.0,5.0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
133,1,2008,2010.0,2010.0,1.0,4561780.722452607,2007.0,2012.0,3.0,2.0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,4745
134,2,1989,2012.0,2012.0,1.0,4500000.0,2009.0,2010.0,2.0,8.0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,11680
135,3,2007,2007.0,2007.0,1.0,300000.0,2007.0,2013.0,4.0,3.0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
136,1,2007,2007.0,2007.0,1.0,250000.0,2011.0,2011.0,1.0,7.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,5110
137,3,2004,2006.0,2006.0,1.0,7660000.0,2008.0,2013.0,3.0,5.0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0
138,1,2003,2002.0,2002.0,1.0,4561780.722452607,2011.0,2011.0,1.0,7.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,6570
